id,date,content,link,tag,type,posSent,negSen,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
ce96db00-52ed-43c3-9cc2-8ac04f698c33,2018-07-21T11:31:03.363Z,Oppo smartphones coming to the UK: can it take on Apple and Samsung?,https://www.which.co.uk/news/2018/07/oppo-smartphones-coming-to-the-uk-can-it-take-on-apple-and-samsung/,[Investment Topics, Adj_Up, Country, Noun_Up, Industry Sector, Verbs_Love, Practice Areas, Verbs_Up, Verbs_Satisfy, Noun_Down, Adj_Good, Company, Corporate Topics, Region, Tech Topics],null,null,null
,,,,,,,,,,,,,,,,,,,,,
d635d176-519d-4dca-803b-b470d297e5a1,2018-07-21T11:27:36.049Z,Silicon Beach Report July 20: Wemo Links with Apple Homekit,http://labusinessjournal.com/news/2018/jul/20/silicon-beach-report-july-20-wemo-links-apple-home/,[Investment Topics, Country, Noun_Up, Industry Sector, Adj_Good, Company, Region, Verbs_Up, Adj_Down, Financial Services Topics],null,null,null,,,,,
,,,,,,,,,,,,,,,,,,,,,
e677beab-44a4-4e23-8aca-a7b7df7087f8,2018-07-21T01:08:17.648Z,Apple Pay 'eviction' ad is P2P's foot in the door for bigger payments,https://www.paymentssource.com/news/apple-pay-eviction-ad-is-p2ps-foot-in-the-door-for-bigger-payments?feed=00000157-2a59-dceb-aff7-bf7b8c720000,[Investment Topics, Country, Adj_Up, Noun_Up, Industry Sector, Verbs_Satisfy, Adj_Bad, Verbs_Love, Adj_Good, Company, Region, Verbs_Up, Financial Services Topics],null,null,null,,
,,,,,,,,,,,,,,,,,,,,,
d434c691-48d2-4385-8e6a-61d0a867deae,2018-07-20T12:03:38.194Z,Apple Watch and Fitbit could see price rise in US tariff standoff,https://in.news.yahoo.com/apple-watch-fitbit-could-see-104040725.html,[Investment Topics, Adj_Up, Country, Noun_Up, Industry Sector, Congress, Verbs_Down, Verbs_Up, Noun_Down, Adj_Good, Company, Corporate Topics, Region, Tech Topics],null,null,null,
,,,,,,,,,,,,,,,,,,,,,
aaa4c3bd-0959-4b6f-91bb-68c36a7a8729,2018-07-20T02:55:55.857Z,Apple supplier TSMC jumps after smartphone outlook lifts,https://www.ft.com/content/35dd9ef4-8bc5-11e8-bf9e-8771d5404543,[Investment Topics, Country, Industry Sector, Company, Region, Tech Topics, Verbs_Up],null,null,null,,,,,,,,
